Funder Name,Charity Number,Change Type,Date,Description,Additional Details
Tanner Trust,1021175,other,01/09/2024,Funds were transferred to several charities on 26th September 2024. The trust has now ceased to exist.,
,,Closed early/Did not open new window,01/09/2024,"Closed on Tuesday 24th September, due to be open until Monday 30th September",
Schroder Charity Trust,214050,Paused,01/09/2024,The Trust have paused their grants programme - likely to open end of 2025,"""After careful consideration, The Schroder Charity Trust's Board of Trustees have made the decision to temporarily close our grants programme.
This closure will allow us to undertake a review of our grant making programme and strategy for 2025 and beyond.
Why We Are Taking This Step
The Schroder Charity Trust has been providing one-off grants of up to  ï¿½5,000 towards a broad range of charitable purposes for a significant period. However, in recent years the volume of applications has increased to an unsustainable level.
Our recent analysis has identified that the current success rate for grant applications is approximately 1 in 14. Recognising that the majority of applicants are investing time and resources into proposals that are ultimately unsuccessful, and also reflecting on the impact this has on our own small team, we do not deem the current grants programme to be effective. We have therefore decided to take some time to consider how best to operate in the future.We anticipate reopening the grants programme in early 2025.'"
Audrey And Stanley Burton 1960 Charitable Trust,1028430,Spending Out,01/09/2024,The trust is in the process of being wound up and is fully committed to charities previously supported.,
The Girdlers' Company Charitable Trust,328026,Paused,01/09/2024,"Due to the high volume of applications received, the application window is currently closed. The date when it will reopen, and the subsequent deadline for submitting applications for consideration at the Benefactions Commitee's meeting in January 2025, will be advised shortly.",
,,Closed,01/08/2024,,
Jac Trust,1189523,Paused,01/08/2024,Given the large number of strong applications received the Foundation decided to not have a second Call for Applications in 2024.,We are a small funder awarding just 6 to 8 grants each year. We received 212 eligible expressions of interest in our 2024 Spring Call for Applications.
,,Re-opened,01/08/2024,"The Tust failed to open on 1 August 2024. They opened, instead, at the begininng of September and  remained open until the 30 September.",
The Matrix Trust,1081852,Restructuring,01/08/2024,The Fund's eligibility criteria are under review.,
The Kirby Laing Foundation,264299,Re-Opened/One to watch,01/08/2024,"Over the last few years the Trustees have been looking to spend down the Foundation's capital endowment but have recently decided to discontinue the spend down programme. Grant-making priorities are currently being reviewed and refined in the light of this decision, but at present remain focussed on five main funding streams:        Mainly Christian faith focused - youth, environment, medical, overseas development, arts",
Lush,,Restructuring,01/08/2024,"At the end of September 2024, Lush’s main giving stream, Charity Pot, was discontinued. Following Lush reaching the significant milestone of over £100 million in donations, the business felt that this was the right time to reflect on charitable giving as a whole and assess the funding needed to meet the current challenges the world faces at this critical time.",
Metropolitan Public Gardens Association,303330,Closed early/Did not open new window,01/08/2024,Currently no further applications will be considered in 2024,
Gloucestershire Funders,,One to watch,01/08/2024,Have been working with Modern Grantmaking to agree a future operating model over the coming months,
The Liebreich Foundation,1136835,Paused,01/08/2024,The Foundation is currently fully committed.,
Sir Jules Thorn Charitable Trust,233838,Re-opened,01/08/2024,"The fund was paused over the summer but is now re-open. Focus is improving quality of life for older people, disabled people and people with mental ill-health through health and social care. Prioritise charities whose main charitable activities are health based.",
The Ashley Family Foundation,288099,Restructuring,01/07/2024,"The foundation's new strategy is Wales-only, with a focus on environmental sustainability and crafts.","New Strategy for 2024/2025

'We are proud to announce our new strategy which will be reflected in our grant making from our November 2024 grant round and thereafter.  The changes in direction have been informed by the Grandchildren of Bernard and Laura Ashley and the needs of the Welsh communities we serve.  The main changes to the funding are:

Wales-only applications - our grant applications are only open to organisations working in Wales, or in support of Welsh people studying arts or environmental sustainability in England.  As always, we are very supportive of rural Welsh areas where communities often lack access to quality arts or community support. 

Environmental Sustainability - we are focusing on work that also seeks to improve our environment and sustainability now, and for our future generations.

Crafts - we are very interested in supporting heritage crafts which are at risk, but also contemporary craft makers and educators'"
Environmental Funders Network ,1181318,Paused,01/07/2024,The RRF was closed on Friday 19 July 2024.,"We are using this time to gather important feedback on the RRF and redesign the fund so that it works more effectively for our members, funders and fundraisers once it reopens.

All announcements regarding the re-opening of the RRF will be made via our social media channels, our blog and our newsletters. If you are a fundraiser, you can join our Green Fundraisers Forum'"
The Evan Cornish Foundation,1112703,Re-Opened,01/07/2024,"The Foundation opened an application window for UK projects on Monday 8th July at 9:00am and closed on Sunday 21st July at midnight.  This funding window was restricted to projects supporting three of our aims; Refugees and Asylum Seekers, Human Rights and Social and Economic Inequality with  a particular interest in supporting the below:   Refugees and Asylum Seekers - Specifically projects working to change policy and protecting the UK's ability to continue to grant asylum and support refugees fleeing persecution. Human Rights - Particularly projects protecting the closing space for freedom of expression. Social and Economic Inequality - Projects focusing on: 1. Homelessness or people at risk of homelessness or 2. Food sovereignty solutions.","The number of funding rounds and grants provided was reduced during this financial period, this was dueto atemporary closure from November 2023 - July 2024 whilst the Grant Manager was on Maternity Leave. During this time, emails, urgent queries and progress reports were kept on top of, but no funding rounds took place. The Foundationfully reopened from July 2024 with a targeted UK funding round"
Arabella And Julian Smith Family Trust,1174447,Spending Out,01/07/2024,The Trust made an endowment to Surrey Community Foundation and are spending out the remaining monies,
The Edwin George Robinson Charitable Trust,1068763,Removed,01/07/2024,Removed (Funds spent (by trustees)),
The Summerfield Charitable Trust,802493,Restructuring,01/07/2024,The trust is accepting applications while developing its future investment strategy.,"As the value of the Summerfield Charitable Trust's investments decline, the Trustees have spent the last year considering how they can make the biggest difference to charitable causes across Gloucestershire'. 

Applications can be made using their normal application process whilst the Core Group develop the next steps to their future investment stategy 

You can find more information here; 

https://lnkd.in/ejC9zHyZ"
The Hilden Charitable Fund,232591,Paused,01/07/2024,"The Hilden Charitable Fund closed their UK funding programme for applications as of 3pm on Thursday, July 11, 2024. They stated that the funding window will not open again until 2025",The fund has announced that 'due to the exceptionally high number of applications to the recent Overseas programme that we have had to further amend the opening period for applications to the UK Programme'. The revised opening dates are: 10am on Thursday 30th May 2024 and close at 3pm sharp on Thursday 11th July 2024. Please note also that there will now be only one application window this year
The Innocent Foundation,1104289,Restructuring,01/05/2024,The foundation reviewed its grant-making strategy and will focus on preventing child malnutrition in Africa and Asia.,
The Cauda Trust,326558,Closed,01/05/2024,"Now both in their 80s, David and his wife, and co-trustee, Elizabeth decided to wind-up The Cauda Trust earlier this year",
The Albert Gubay Charitable Foundation,1193970,Pausing,01/05/2024,"Following the Foundation's grant meeting it was decided that because the General Fund was depleted to not currently accept further applications. It is likely that this fund will remain closed for at least the remainder of this year. Whilst the General Fund is closed, they are not responding to emails, discussing proposals or sending out our detailed eligibility test.
 
Their Roman Catholic Church fund is still open, so if your charity is a Roman Catholic charity or a Roman Catholic parish, please email them again making it clear that this is the case by including  ï¿½Roman Catholic Charity' in the subject line of your email",
Glasspool Charitable Trust, 214648,Restructured,01/04/2024,"Glasspool's Essential Living Fund to close 27th  February 2024. From 1st  April 2024 the Trust will operate a new grants programme, the Flexible Frontline Fund. Grants from this fund will only be available to a group of organisations we have selected through a rigorous application process. If you are a frontline organisation and are not one of our selected partners, you will not be able to access our grant funds. Please bear in mind that these partner organisations will only be able to provide grants for their service users.",
Norwich Freemen's Charity,1169460,Restructuring,01/04/2024,The Charity now limit the number of applications accepted per meeting  to 25 due to high demand.,"As a result of receiving an overwhelming number of applications (41) from organisations at our April 2024 Norwich Freemen's Charity grants meeting, we have taken the decision to restrict the total number of applications which we will accept for each of our future grants meetings to 25.  We have made this change because, when we receive so many applications for one meeting, we have to say  ï¿½no grant' to a large proportion of them.  With 25 applications to each meeting, whilst there is no guarantee of receiving a grant, the ratio of successful applications to unsuccessful ones will be more acceptable and appropriate. We have reviewed Norwich Freemen's Charity's strategy for grant-making to organisations applications.Ne w process"
The Goldsmiths' Foundation,1175593,Paused,01/04/2024,,
The Linder Foundation,267509,Restructured,01/04/2024,"Linder Foundation will not be making direct grants to Hospices in 2024-2025, as partnership arrangements are in place.",
The Basil Samuel Charitable Trust,206579,Spending out,01/04/2024,"The trusteesintent  to distribute its reserves - both cumulative reserves to date and income to be generated from cash reserves held - by way of grants over the next 7 to 8 years. Over this period, the trustees will continue to support educational, cultural and socially supportive charities Completion ay well be 2032.","""It is the current intention of the trustees to distribute its reserves - both cumulative reserves to date and income to be generated from cash reserves held - by way of grants over the next 7 to 8 years."" This decision seems to have been taken some time between 2020 & 2022 during which time the income - yield from investments - varied hugely (from accounts 2020 & 2023)"
The Topinambour Trust,1117555,Spending out,01/04/2024,The Trust are spending out and are not open to new applications,"Spend out trust in original concept ""The original intent of the Trustees is that awards shall be made such that the Trust's income would be supplemented by sale of investments so that the Trust's assets are expected to be largely consumed within 10-12 years from the date of commencement of the Trust's operations. As a result of additional donations and investment performance this horizon has been extended."" (Annual report, 2018 - accessed 30th April 2024)"
The Expat Foundation,1094041,Spending Out,01/03/2024,Closed March 2024,"A grant giving trust focusing in the UK on improving the lives of disadvantaged children and young people and improving the quality of life of elderly people, reg number  1094041: 'The investments have been sold and the proceeds will be distributed as grants to those charities we have funded since 2018. Management expects the foundation to cease trading by 31 March 2024'. And: 'Reserves Policy We hope to close the Foundation by March 2024'."
The Edith M Ellis 1985 Charitable Trust,292835,Restructuring,01/02/2024,"Grant criteria are under review, with further changes expected in 2024 and 2025.","Quaker work and witness, particularly on work relating to peace
Peace-building and conflict resolution
Interfaith and ecumenical understanding
Peace work connected with climate breakdown https://theedithmellischaritabletrust.org/criteria/"
Allen Lane Foundation,248031,Restructuring,12/01/2024,"The foundation has sharpened its focus on specific beneficiary groups.
","The Foundation has sharpened the focus of beneficiaries, particularly in the first three categories and the last (children/young people).
The following focus on adults only: 

Asylum seekers and refugees  � support work to benefit refugees, asylum seekers, and refused asylum seekers, including those held in detention. The focus has been changed to women only. The focus is on those women who are seeking asylum in the UK, and female refugees who have been through the asylum system; rather than people who arrive in the UK through community sponsorship or via resettlement schemes.

Offenders and ex-offenders  � support for penal reform and fund groups working with offenders in prison and out in the community. The focus now is solely on organisations supporting female offenders, and those in prison for violence against women.

Older People  � funding is focused on projects that benefit isolated elderly people (generally aged 70+) including those with dementia. There will now be a greater focus on specific areas of work for the elderly especially for those in rural and more deprived areas.


People affected by violence or abuse  � work that supports both men and women who are, or have in the past been, affected by violence or abuse. This includes projects supporting people affected by rape and sexual abuse, domestic abuse, stalking, trafficking, prostitution and modern slavery, honour-based abuse, female genital mutilation, and forced marriage. The funding can also support work with perpetrators aiming to lessen isolation and prevent the risk of further abuse.

Gypsy, Roma and Traveller Communities  � support groups within these communities and organisations that work to benefit them. Funding can support work that raises awareness of the issues Gypsy and Traveller communities face, and work to combat hate crime, stigma, discrimination and inequalities, including the lack of appropriate accommodation or other service provision.

People with mental health issues  � support for mental health charities and projects that benefit people with moderate or severe mental health issues.


 In addition, there is funding for work with:
Young people  � aged 12-21 who are vulnerable, socially excluded or marginalised with a focus on those who are persistently absent from school; school leavers with no qualifications; and young people in/leaving care.
"
The Ellerdale Trust,1073376,Restructuring,12/01/2024,"As of the end of 2024, all of the Trust's grant-giving will go through the London Community Foundation and the geographical focus will now be in London",
Treebeard Trust,1200102,Restructuring,12/01/2024,"The trust is revising its grant strategy and is not making new grants until further notice.
","Following a review this year, Treebeard Trust is revising its grant strategy and this process will stretch well into 2025. In the meantime, we will not be making new grants, so we ask you not to reach out to us regarding funding at this time. We will post an update on our website in 2025. As we work on our new strategy and funding model, we will be honouring all existing grant commitments and pledges. � https://www.treebeardtrust.org/

Priorities  ;
Sustainable Planet

Vulnerable Communities

Justice

Systems Change
"
The Greggs Foundation,296590,Paused,12/01/2024,"The Greggs Foundation has made changes to its Breakfast Club programme. Now called Feeding Brighter Futures, the programme has been expanded to provide additional support through after school clubs and holiday club provision.

The programme is temporarily closed to applications, but schools should check the Foundation's social channels for updates on when the waiting list will reopen.



https://www.greggsfoundation.org.uk/breakfast-clubs",
The Marks Family Charitable Trust,263776,Paused,12/01/2024,The Trust have closed to applications and will not be reviewing or processing any new online applications.,
The Mageni Trust,1070732,Paused,12/01/2024," The Trust has fully committed its funding for the foreseeable future and is not currently accepting applications.

",
The Steel Charitable Trust,272384,Closing early,12/01/2024,"Announced on 18th December 2024 that their  new deadline for the March 2025 meeting is now Friday 10th January 2025 at Noon. This is a few days earlier than previously published
",
The Noel Buxton Trust,220881,Paused,12/01/2024,"In December 2024, the Trust announced they were taking a break to review their Africa grants programme with a view to update in Spring 2025.
They hope to have an update for prospective new applicants in Autumn 2025. 


In June 2025 the Trust announced that its Family grants programme is currently closed to new applications


",
The National Lottery Community Fund,,Restructuring,11/01/2024,"Announced that they would be making changes across all our funding in England from spring 2025.

","Update 

https://www.tnlcommunityfund.org.uk/funding/programmes/our-vision-for-funding-in-england?utm_source=newsletter&utm_medium=email&utm_campaign=EPR&dm_i=5P0C,13T24,4YQ4WR,53LAZ,1"
The Steel Charitable Trust,272384,Re-opened,11/01/2024,"Following strategic discussions that began in December 2023 and their decision in August 2024 to temporarily suspend new applications, Trustees have agreed a new way forward for The Steel Charitable Trust's grant-making from next year'. 

The Trust will commit to spending 50% of its annual grants budget to support Luton, broadly in line with Luton Council's 2040 vision. 

For the rest of the UK (including Bedfordshire, but excluding the area covered by Luton Council), the Trust will direct its support only towards charities working with or on behalf of children and young people, under 26 years of age, with an overarching focus on creating educational and/or access opportunities for those in circumstances, groups or locations that face economic challenges, social marginalisation or poor outcomes in later life.

Applications for this funding stream will open on Monday 18th November 2024 at noon.

",
W G Edwards Charitable Foundation,293312,Paused,11/01/2024,"The Foundation have closed to applications until September 2025. 
",
The Valiant Charitable Trust,1135810,Paused,11/01/2024,"The Trust are not considering applications for the foreseeable future.

 

",
City Bridge Foundation,1035628,Paused,10/01/2024,"The Foundation closed its rolling grants programmes to new applications on Tuesday, 8 October 2024. This is due to an unprecedented surge in funding applications, with more applicants than can be supported.

",
The Legal Education Foundation,271297,Pausing,10/01/2024,"The Trust is in the process of developing anew strategy for 2025-2030, which will launch in summer 2025","The autumn 2024 open grants round will be our last round open to new applications until autumn 2025"". As such, the first round in 2025 will be for renewals and exit grants for grant partners. The Justice First Fellowship Host and Fellow programme will continue to run as normal. New grant programmes will be announced and launched over 2025.
We're an independent foundation supporting communities across the UK to use the law to improve their lives and the lives of others
Advice services, Using and shaping the law, Legal training, Policy and influencing, Community lawyering
"
The Inman Charity,261366,One to watch,10/01/2024,"
The directors of the corporate trustee ('the directors') operate a grant giving policy with a view to making annual distributions of  �350,000.  In the year to 31 December 2024, the amount will be reduced to  �250,000 and subject to review later in the year.",
The Steel Charitable Trust,272384,Closed early/Did not open new window,10/01/2024,Closed Autumn funding round early (deadline was 10th October 2023) due to high number of applications ,
The Robertson Trust,SC002970,Re-opened,10/01/2024,"
Small Grants offer increased funding of between  £5,000- £20,000 per year, typically for 3 years, which marks an increase from previous maximum of  £15,000 per year.

Large Grants now offer funding of between  £20,000- £50,000 per year, marks a change from previous minimum of  £15,000. 

They will initially focus on funding requests which address one or more of the following themes and the priorities within those.

Financial Security: improving income adequacy, income security, manageable costs, financial safety nets and advice for those most at risk of poverty and trauma.

Education Pathways: preventing and reducing poverty and trauma through access and engagement in early years, education, training and learning.
Work Pathways: improving access to good and fair work that can prevent and reduce poverty through increased pay, hours and career progression. This also includes employability support, focused on areas or groups with lower employment rates.

They will be launching a fourth funding theme later this year, following on from our previous Emotional Wellbeing and Relationships theme, with a sharper focus aligned to the aims of their strategy.

",
Friends Provident Foundation,1087053,Restructuring,09/01/2024,"The Friends Provident Foundation grants programme is currently closed. A new programme will be launching in early Autumn 2024. Please keep an eye on our website and social media for updates

",
The Steel Charitable Trust,272384,Restructuring,09/01/2024,"Closing on 1 Sept until 17 November 2024 whilst implementing new strategy and grant system. Looks like new strategy will have more local focus (Luton)



",Too many applications
The Henry Smith Charity,230102,Closed early/Did not open new window,09/01/2024,"The current round is now closed as all funding has been allocated. Was due to be open until 19th Nov
",
The Tabhair Charitable Trust,SC043357,Closed early/Did not open new window,09/01/2024,Due to open in September but as it stands have not opened,
Monument Trust,242575,Spending Out,09/01/2024,Trustees have completed their plan to spend the Trust's endowment and close down the Trust. Grant applications will no longer be considered. ,
The Robertson Trust,SC002970,Re-Opening,09/01/2024,"The Wee Grants fund reopened at the end of September, along with the new-look Transport Fund.

This was the first stage of a phased return of Our Funds. 


",
Skipton Building Society Charitable Foundation,1079538,Paused,09/01/2024,The Foundation updated their donations policy and are not accepting any new applications until 2025.                ,
Mcs Foundation,1189096,Restructuring,09/01/2024,"The foundation is developing new grant programmes.
","The maximum grant available was  �50,000 inclusive of VAT. A total funding pot of  �300,000 was available and we therefore expect to fund around 6 grants, if the maximum amount of funding is requested.  

Projects will be one or both of the following types: 

Retrofit in action: projects demonstrating or experimenting with methodologies in the real world and actively evaluating results 
Retrofit research: research projects which aim to research a particular issue and better inform retrofit work in the future 
Building on the Foundation's knowledge of the sector and stakeholder consultation we were particularly interested in grants responding to one or more of the following questions: 

What are effective grant and finance mechanisms to deliver measures?
How do we engage citizens in retrofit and then turn engagement into action?
How do we increase the numbers of people entering the retrofit supply chain? 
The MCS Foundation may provide feedback on project ideas via email in the first instance.  We can't guarantee to provide feedback but will do our best to do so. "
The Tudor Trust,1105580,Not open to unsolicited applications,09/01/2024,"As the Trust developed their plans to make a small number of grants this year, they announced they will be doing so in a way that is quite different to how they funded in the past. They developed their first grants alongside a continuation of the total transformation of Tudor, and worked in careful partnership with the first set of organisations that we invite to apply","The scarcity mindset is plain in many funding and grant-making practices. It means we put the onus on small organisations and groups to justify why they should receive funding. It means they are expected to compete with the very groups they may want to work in partnership with, and it continues in how they report on outcomes defined by the funders' goals. Tudor alone cannot undo these practices and the mindsets that drive them... 
It is becoming clearer to us that, as we develop our plans to make a small number of grants this year, we will be doing so in a way that is quite different to how we funded in the past. We will be developing our first grants alongside a continuation of the total transformation of Tudor, and so we will work in careful partnership with the first set of organisations that we invite to apply'"
The National Lottery Community Fund,,Paused,09/01/2024,"
'We recommend you wait until 1 April 2025 to apply to Reaching Communities. We're updating some of the criteria and application form questions then. From April, Reaching Communities will also include our current Partnerships fund'.",
Chrysalis Trust,1133525,Re-Opening,09/01/2024,The Chrysalis Trust will accept applications for the 15th December 2024 deadline from 1st October 2024. ,
The National Lottery Community Fund,,Restructuring,09/01/2024,"Priorities are guided by four missions, with new funding portfolios launching across the UK.
","Priorities are guided by our four missions, which support communities to:

come together
be environmentally sustainable
help children and young people thrive
live healthier lives.

'Using the missions as the cornerstone of our work, we are launching new funding portfolios across the UK that reflect funding needs across the UK, and developing a new impact strategy that we plan to release in early 2025'.

You can read more here 

https://lnkd.in/eirqxEYB

and here, 

https://lnkd.in/euNDjGRE


https://www.tnlcommunityfund.org.uk/news/blog/2024-09-24/bringing-our-community-led-missions-to-life"
Friends Provident Foundation,1087053,Re-Opened,09/01/2024,New grants programme and the strand Shifting Cultural Perceptions open for applications ,
David Solomons Charitable Trust,297275,Restructuring,09/01/2024,A Trust has made a change in  grant making policy due to increase in applications and have moved to only allow re-application after 3 years,
The Brownlee Charitable Trust,328157,Spending Out,09/01/2024,"The trust is running down its grant-making and is not accepting further applications.
",
The National Lottery Community Fund,,Restructuring,08/01/2024,"The Fund have removed the  �250,000 limit and they now say:
""We are more likely to fund groups with smaller incomes.
Due to high demand, organisations that have a large annual income might not be able to get funding.""",
Boots Charitable Trust,1045927,Restructuring,08/01/2024,"The trust closed its UK-wide application window due to high demand and is reviewing its strategy.
","The Trust expanded its grant-making from Nottinghamshire to UK-wide at the start of 2024. The Trust had scheduled an application window for 1st-31st May 2024. However, due to an unprecedented interest in the Fund and an unexpectedly large volume of applications, the Trust has taken the decision to close the May round to UK-wide projects and has reverted to supporting Nottinghamshire charities only, pending a review of the programme. Update on the Boots Charitable Trust application process  � August 2024Due to the unprecedented interest in the Fund and a significant volume of applications, we have taken the difficult decision to close to applications from UK-wide projects while we review the trust's funding strategy for FY25. Our August 2024 application window will only open to new applications from projects supporting the community of Nottinghamshire.

We'd ask that you review our giving policy prior to making an application. Please note, we have made a change to this recently. If you are an organisation with significant large reserves, specifically over  �1m, your application will not be considered as the Trustees look to prioritise funding for organisations with fewer resources."
Paul Hamlyn Foundation,1102927,One to Watch,08/01/2024,"
The Foundation received 345 applications in their first round to review (For context, between 2021 and 2023, they received 297 applications per year on average)

The majority of people who applied for funding in this round had never applied to the Foundation before (55%). The next largest group were people who had applied but not been funded in the last five years (10%). The Foundation shortlisted 40 organisations from the 345. There were 37 ineligible applications, and nearly all of these were from first-time applicants. 

29 organisations were funded 

",
Virgin Atlantic Foundation,1097580,Closed,08/01/2024,"Virgin Atlantic Foundation announced its intention to close on 30th August 2024, as trustees made a considered decision to conclude the charity's work following the strategic decision by Virgin Atlantic to work directly with charity partners. ",
Charles Hayward Foundation,1078969,One to Watch,08/01/2024,"Changed meeting schedule for 2025 (to three meetings a year instead of four)
2025 deadlines for the submission of applications for Stage 1:

31st January 2025 (for March Grant's Committee meeting)
23rd May 2025 (for July Grant's Committee meeting)
19th September 2025 (for November Grant's Committee meeting)

New website https://charleshaywardfoundation.org.uk/grants/our-process-when-to-apply/",
The Beaverbrook Foundation,1153470,Fully Committed,08/01/2024,"The Foundation's funds are fully committed

",
Didymus,1152432,Paused,08/01/2024,"Due to the volume of applications received by the Charity the application process has been closed until those in the pipeline have been considered.The Trustees are currently undertaking a strategic review and the application process is paused at this time. Please check back in Autumn 2024 for an update. 

",
John Ellerman Foundation,263207,One to watch,08/01/2024,"In a year where we saw a 29% increase in the number of applications received, and nearly double the number of applications compared to 2021/22, it is clear that our applicants and grant-holders are experiencing many pressures. We are humbled by their persistence and resilience. We know that we cannot respond in full to the challenges faced by the sector, but we are committed to doing our bit. In the year ahead we will bring our current strategy to a close and set up our next strategy, which we hope will show our commitment to being a bold, ambitious and collaborative partner to the sector. https://ellerman.org.uk/blog/our-annual-report-and-accounts-2023-24",
W G Edwards Charitable Foundation,293312,One to Watch,08/01/2024,The Foundtion received a six-fold increased in applicaitons for the September meeting. It is worth noting that the criteria and guidance for this foundation will be updated in 2025 and the website will reflect this by April 2025. ,
The Rayne Foundation,1179912,Re-Opened,08/01/2024,"
The Foundation launched its new website in August 2024, along with a brand-new purpose statement and updated guidance for applicants. 



Priority areas will be; 

- the mental health of children and young people, 

-opportunities for refugees and asylum seekers, and 

- the quality of life for older people and their carers. 

Using the arts and creativity to address our priority areas will be particularly encouraged.



If you intend to apply immediately, the Foundation strongly encourage you to email or ring the grants team for a discussion.
",
John Lewis Partnership Foundation,1118162,Restructuring,08/01/2024,"John Lewis Foundation, John Spedan Lewis Foundation and the Building Happier Futures now under new umbrella Foundation. Waitrose Foundation remains unchanged as a separate entity,",
The Tabhair Charitable Trust,SC043357,Re-Opened,08/01/2024,"Applications can be made for individual projects or core costs. Where core costs are requested, the maximum commitment considered would be 3 years.

All grant giving is informed by Tabhair's commitment to support the disadvantaged and promote education, training and community action.

The Trust is interested in funding local and national work within the UK/ Ireland region

Grants will range in size, with most grants awarded being in the range of  �500 -  �5000

To make an application, please submit an initial enquiry on this website following the timeline for our rounds of funding.

We acknowledge all applications when we start to process applications for each new round. Please note this might be some time after you submit an expression of interest via our website. We regret that we cannot enter into detailed communication about each application. We will contact you for more detailed information if we are in a position to take your application further.

The trustees meet twice a year to distribute the income of the charity. To process a successful application and make a grant usually takes between two and six months.

Subsequent applications can be made  � but no more frequently than once per year.

All grants are made at the discretion of the trustees and their decisions are final.

An annual report is required from charities that are awarded a grant. The report should explain how the grant has been used and illustrate the difference it has made.",
The Randal Charitable Foundation,1176129,Re-Opened,08/01/2024,,
The Asda Foundation,1124268,Closed early/Did not open new window,07/01/2024,"Applications opened on the 9th of July and due to high demand, have now closed.

Those who still have an application in  �draft' status, can complete this before the window closes at midnight on Sunday, 28th July. 

",
B&Q Foundation,1183275,Closed early/Did not open new window,07/01/2024,Did not open July 2024 window due to a large number of applications received in the April/May round,
The Tudor Trust,1105580,Paused,07/01/2024,"As the summer ends and the staff at Tudor come back together as a team, we are stepping up our plans to launch our new strategy and begin making new grants",
The Cherry Family Foundation,1193349,Restructuring,07/01/2024,"Application process changed in July 2024, with Round 1 now only open for 10 days, 2nd round by invitation only  

",
The Mse Charity,1121320,Closed early/Did not open new window,07/01/2024,"Closed Applications Early 12th July (noon) due to be accepted up to 31 July. Due to  �an overwhelming number of applications' 
",
The Asda Foundation,1124268,Closed Early,07/01/2024,"Investing in Spaces and Places
Applications opened on the 9th of July and due to high demand, have now closed (26th July). Was due to close on Sunday, 28th July. 
",
John Ellerman Foundation,263207,Restructuring,06/01/2024,"The foundation is focusing on climate, trust and connection, economic models, and equity for marginalised communities. The Museums and Galleries Fund is closing.
","Focussing our strategy on work that acts on the following in just and equitable ways:

Tackling the triple planetary crisis by mitigating and adapting to climate impacts, reducing pollution and protecting and restoring nature.
Building greater trust and connection, reducing polarisation within society and increasing the levels of participation and influence in the political process (which is sometimes referred to as political equality).
Promoting the development and adoption of economic models and systems that support people and planet and reduce wealth inequalities.
Advancing equity and justice for marginalised communities impacted by the issues above.
Closing Museums and Galleries Fund

"
The Victoria Wood Foundation,1170494,Paused,06/01/2024,"Due to the very high number of applications received,  the Foundation have been unable to process any further applications. Their next meeting is December 2024 and they hope to be able to accept new applications in September and October 2024.",
The Mse Charity,1121320,Restructuring,06/01/2024,"The fund will run two rounds per year with a broader focus on financial capability and a two-stage application process.
","The MSE Charity changed some of the ways its funding rounds work. It will still run two rounds a year, although these will no longer follow set themes. (Its former themes were building and developing resilience, living with long-term challenges, raising the next generation, and life changes.) Instead, the rounds will focus more broadly on work that boosts people's financial capability skills, which aligns better with the charity's long-terms goals.

The maximum grant per group has also increased to  �10,000, and the charity has changed the application process, too, which is now two-stage, rather than one. Latest roud closed early to high volume of appications"
The Henry Smith Charity,230102,Restructuring,06/01/2024,"The foundation is closed to new applications while a new funding strategy is developed. 
","Improving Lives and Strengthening Communities grant programmes closes at 5pm on 28 June 2024.
No applications for these grant programmes will be accepted after that point.

While we will be closed to new applications for a few months, we are aware of the acute need for funding in the sector at present and will be distributing our full Improving Lives and Strengthening Communities annual budget of over  �40million in 2024.

A new funding strategy will be launched in Spring 2025 reflecting the changed context since the last strategy was launched in 2017. "
The Henry Smith Charity,230102,Restructuring,06/01/2024,"The foundation is launching new grant programmes focused on families, young people, and domestic abuse support, with webinars for applicants.",
Boots Charitable Trust,1045927,Closed early/Did not open new window,05/01/2024,"The Trust closed the Q3 and Q4 grant windows early. Due to the unprecedented interest in the Fund and a significant volume of applications. In Q4 it  remained open to projects supporting the local community in Nottinghamshire.  They are reviewing the current funding priorities for the Trust ahead of reopening to UK wide applicants in August 2024.  Q3 was 1-28 February 2024. They closed 16th February.  Q4 was  1-31 May 2024. Closed 10th May. 
",
The Robertson Trust,SC002970,Paused,05/01/2024,"Pausing funds to applications from 12 noon on Friday 31st May, and re-opening with a new look version in September 2024 This was part of their commitment to embed cycles of learning and continuous improvement across all their work. The purpose of this was to look at where they can have the biggest impact within our themes and ensure they are clear externally about what's in and out of scope for funding aligned to our Mission. In other words, to sharpen the focus of Our Funds to achieve our strategic aims, rather than changing those aims.
","From September 2024:
Our Wee Grants will be open to registered charities and constituted community groups with an annual income of up to  �30,000. Our maximum Wee Grant award will increase from  �2,000 to  �5,000. 
Our Small Grants will be open to registered charities with an annual income of between  �30,000 and  �200,000 and our maximum Small Grant award will increase from  �15,000 per annum to  �20,000 per annum.  
The changes to our Wee and Small Grants fund will have a knock-on effect on our Large Grants, meaning the minimum organisational income threshold will increase from > �100,000 to > �200,000 and the minimum award size will increase to  �20,500 per annum.   "
Nuffield Foundation,206601,Closed Early,04/01/2024,Closed their April round and next round is October,
The Randal Charitable Foundation,1176129,Paused,04/01/2024,The Foundation are not in a position to review new funding requests at present ,
